Oscilloscope Data File
Experiment Time :   13-12-2016 08:53:42
Number of frames: 46666

Module: E-14-140M (1D905555)

Number Of Channels : 8
Input Rate In kHz: 22.222221
Input Time In Sec: 2.099970
Decimation: 100
Number of frames after Decimation: 466
Data Format: Calibr
Time markers scale: ñåêóíäû
GPS time=00:00:00 00-00-0000
GPS latitude=, latitude h=0
GPS longitude=, longitude h=0
Segments: 1
Data as Time Sequence:
                    Ch  1      Ch  5      Ch  6      Ch  7      Ch  8  
                 ÑÂÄ,       ÐÊ 1,      ÐÊ 2,      ÐÊ 3,      ÐÊ 4,     
        1.683 ,       280,       113,       110,       100,        82
        1.688 ,       280,       113,       110,        99,        82
        1.692 ,       280,       113,       110,        99,        82
        1.697 ,       280,       113,       110,        99,        82
        1.701 ,       281,       113,       110,       100,        82
        1.706 ,       280,       113,       110,        99,        82
        1.710 ,       280,       113,       110,        99,        83
        1.715 ,       280,       113,       110,        99,        82
        1.719 ,       280,       113,       110,       100,        82
        1.724 ,       280,       113,       110,        99,        83
        1.728 ,       281,       113,       110,       100,        83
        1.733 ,       280,       113,       110,        99,        82
        1.737 ,       280,       113,       109,       100,        82
        1.742 ,       282,       113,       110,        99,        83
        1.746 ,       282,       113,       110,       100,        83
        1.751 ,       280,       113,       110,       100,        83
        1.755 ,       280,       113,       110,       100,        83
        1.760 ,       280,       113,       110,        99,        83
        1.764 ,       280,       112,       110,       100,        83
        1.769 ,       280,       112,       110,       100,        83
        1.773 ,       280,       113,       110,        99,        83
        1.778 ,       280,       113,       110,        99,        83
        1.782 ,       280,       113,       110,       100,        82
        1.787 ,       280,       113,       110,       100,        82
        1.791 ,       280,       113,       110,       100,        82
        1.796 ,       280,       113,       110,        99,        82
        1.800 ,       282,       113,       110,        99,        82
        1.805 ,       282,       113,       110,       100,        82
        1.809 ,       280,       113,       110,       100,        82
        1.814 ,       280,       113,       110,       100,        82
        1.818 ,       280,       113,       110,       100,        82
        1.823 ,       280,       112,       110,       100,        82
        1.827 ,       280,       113,       110,       100,        82
        1.832 ,       281,       113,       110,       100,        82
        1.836 ,       281,       113,       110,       100,        82
        1.841 ,       281,       113,       110,        99,        82
        1.845 ,       281,       113,       110,       100,        82
        1.850 ,       280,       113,       110,       100,        82
        1.854 ,       280,       113,       110,       100,        82
        1.859 ,       280,       113,       110,        99,        83
        1.863 ,       280,       113,       110,       100,        82
        1.868 ,       282,       113,       110,       100,        82
        1.872 ,       282,       113,       110,       100,        83
        1.877 ,       282,       113,       110,       100,        83
        1.881 ,       280,       113,       110,       100,        82
        1.886 ,       280,       113,       110,       100,        82
        1.890 ,       279,       113,       110,       100,        82
        1.895 ,       280,       113,       110,       100,        83
        1.899 ,       282,       113,       110,       100,        83
        1.904 ,       282,       113,       110,       100,        82
        1.908 ,       282,       113,       110,       100,        82
        1.913 ,       282,       113,       110,       100,        83
        1.917 ,       282,       113,       110,       100,        83
        1.922 ,       280,       113,       110,       100,        82
        1.926 ,       280,       113,       110,       100,        82
        1.931 ,       280,       113,       110,        99,        83
        1.935 ,       280,       113,       110,       100,        83
        1.940 ,       281,       113,       110,       100,        82
        1.944 ,       281,       113,       110,       100,        82
        1.949 ,       280,       113,       110,       100,        82
